name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,price_level,price_numeric,years_since_award,decade,hemisphere,continent,has_url,name_length,name_word_count,distance_to_ny,city_restaurant_density,climate_zone,coastal_proximity
Commonwealth,2019,37.761395,-122.41946,San Francisco,California,94110,Modern,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commonwealth,1,Moderate,2,6,2010,Northern,Americas,True,12,1,4129.607191637356,55,Temperate,Coastal
Luce,2019,37.78194,-122.40498,San Francisco,California,94103,Modern,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce,1,Expensive,3,6,2010,Northern,Americas,True,4,1,4127.627078027981,55,Temperate,Coastal
Birdsong,2019,37.779495,-122.41048,San Francisco,California,94101,American,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong,1,Very Expensive,4,6,2010,Northern,Americas,True,8,1,4128.174403988254,55,Temperate,Coastal
In Situ,2019,37.785633,-122.40113,San Francisco,California,94103,International,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ,1,Very Expensive,4,6,2010,Northern,Americas,True,7,2,4127.1683334676045,55,Temperate,Coastal
Mourad,2019,37.78695,-122.39987,San Francisco,California,94105,Moroccan,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mourad,1,Expensive,3,6,2010,Northern,Americas,True,6,1,4127.014071940084,55,Temperate,Coastal
Hashiri,2019,37.783062,-122.40754,San Francisco,California,94103,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri,1,Very Expensive,4,6,2010,Northern,Americas,True,7,1,4127.795549538336,55,Temperate,Coastal
Angler,2019,37.793167,-122.39213,San Francisco,California,94101,Modern,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/angler,1,Very Expensive,4,6,2010,Northern,Americas,True,6,1,4126.13802638582,55,Temperate,Coastal
Rich Table,2019,37.774914,-122.42271,San Francisco,California,94102,Modern,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rich-table,1,Expensive,3,6,2010,Northern,Americas,True,10,2,4129.358844632987,55,Temperate,Coastal
Kin Khao,2019,37.785267,-122.40951,San Francisco,California,94102,Thai,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao,1,Moderate,2,6,2010,Northern,Americas,True,8,2,4127.873982465198,55,Temperate,Coastal
Michael Mina,2019,37.79349,-122.399574,San Francisco,California,94102,Modern,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/michael-mina,1,Very Expensive,4,6,2010,Northern,Americas,True,12,2,4126.740110317691,55,Temperate,Coastal
Sons & Daughters,2019,37.79037,-122.40917,San Francisco,California,94108,Modern,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters,1,Very Expensive,4,6,2010,Northern,Americas,True,16,3,4127.651166763462,55,Temperate,Coastal
Mister Jiu's,2019,37.79371,-122.406654,San Francisco,California,94108,Chinese,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius,1,Expensive,3,6,2010,Northern,Americas,True,12,2,4127.316071424102,55,Temperate,Coastal
